:START_ID,:END_ID,:TYPE
SỞ GIÁO DỤC VÀ ĐÀO TẠO THÀNH PHỐ HỒ CHÍ MINH,613/SGDĐT-GDTH,BAN_HANH
613/SGDĐT-GDTH,Nguyễn Bảo Quốc,KY_BOI
613/SGDĐT-GDTH,119/BGDĐT-GDTH,CAN_CU
613/SGDĐT-GDTH,5025/BGDĐT-GDTH,CAN_CU
613/SGDĐT-GDTH,04/CT-TTg,TRICH_DAN
613/SGDĐT-GDTH,131/QĐ-TTg,TRICH_DAN
613/SGDĐT-GDTH,06/QĐ-TTg,TRICH_DAN
613/SGDĐT-GDTH,13/2023/NĐ-CP,TRICH_DAN
613/SGDĐT-GDTH,130/2018/NĐ-CP,TRICH_DAN
613/SGDĐT-GDTH,613/SGDĐT-GDTH-Muc_1,CO_MUC
613/SGDĐT-GDTH,613/SGDĐT-GDTH-Muc_2,CO_MUC
613/SGDĐT-GDTH,613/SGDĐT-GDTH-Muc_3,CO_MUC
613/SGDĐT-GDTH,613/SGDĐT-GDTH-Muc_4,CO_MUC
613/SGDĐT-GDTH-Muc_4,613/SGDĐT-GDTH-Muc_4-NV_a,GIAO_NHIEM_VU
Phòng Giáo dục và Đào tạo,613/SGDĐT-GDTH-Muc_4-NV_a,CO_TRACH_NHIEM
613/SGDĐT-GDTH-Muc_4,613/SGDĐT-GDTH-Muc_4-NV_b,GIAO_NHIEM_VU
cơ sở giáo dục,613/SGDĐT-GDTH-Muc_4-NV_b,CO_TRACH_NHIEM
