nhiemvuId:ID,tenNhiemVu,thoiGianHoanThanh,ketQua,:LABEL
904/KH-BGDĐT-Muc_II-NV_1,Xây dựng kế hoạch triển khai Học bạ số,7/2024,Kế hoạch được ban hành,NhiemVu
904/KH-BGDĐT-Muc_II-NV_3,Hội nghị xây dựng phương án triển khai Học bạ số tại 03 miền,Tháng 8/2024,Báo cáo Phương án triển khai.,NhiemVu
904/KH-BGDĐT-Muc_II-NV_5,Văn bản hướng dẫn triển khai thí điểm Học bạ số,Tháng 8/2024,Văn bản triển khai được ban hành;,NhiemVu
904/KH-BGDĐT-Muc_II-NV_7,"Tổ chức tổng kết, đánh giá triển khai thí điểm Học bạ số.",Tháng 12/2024,Báo cáo kết quả thực hiện và đề xuất phương hướng triển khai trong thời gian tiếp theo,NhiemVu
904/KH-BGDĐT-Muc_III-Vụ_Giáo_dục_Trung_học-Cục_Công_nghệ_thông_,Cục Công nghệ thông tin và các đơn vị liên quan thực hiện một số nhiệm vụ sau:,,,NhiemVu
904/KH-BGDĐT-Muc_III-Vụ_Giáo_dục_Trung_học-Xây_dựng_kế_hoạch_tr,Xây dựng kế hoạch triển khai Học bạ số;,,,NhiemVu
904/KH-BGDĐT-Muc_III-Vụ_Giáo_dục_Trung_học-Khảo_sát_thực_tế_tại,Khảo sát thực tế tại một số sở GDĐT;,,,NhiemVu
904/KH-BGDĐT-Muc_III-Vụ_Giáo_dục_Trung_học-Hội_nghị_xây_dựng_ph,Hội nghị xây dựng phương án triển khai Học bạ số tại 03 miền;,,,NhiemVu
904/KH-BGDĐT-Muc_III-Vụ_Giáo_dục_Trung_học-Ban_hành_văn_bản_hướ,Ban hành văn bản hướng dẫn quản lý và sử dụng Học bạ số cấp trung học.,,,NhiemVu
"904/KH-BGDĐT-Muc_III-Vụ_Giáo_dục_Trung_học-Tổ_chức_hỗ_trợ,_kiểm","Tổ chức hỗ trợ, kiểm tra, giám sát quá trình triển khai tại địa phương;",,,NhiemVu
"904/KH-BGDĐT-Muc_III-Vụ_Giáo_dục_Trung_học-Tổ_chức_tổng_kết,_đá","Tổ chức tổng kết, đánh giá kết quả triển khai thí điểm và triển khai địa trà.",,,NhiemVu
904/KH-BGDĐT-Muc_III-Vụ_Giáo_dục_Trung_học-Kí_ban_hành_các_văn_,Kí ban hành các văn bản để tổ chức thực hiện kế hoạch này.,,,NhiemVu
904/KH-BGDĐT-Muc_III-Cục_Công_nghệ_thông_tin-Giáo_dục_Thường_xuyê,Giáo dục Thường xuyên và các đơn vị có liên quan thực hiện một số nhiệm vụ sau:,,,NhiemVu
"904/KH-BGDĐT-Muc_III-Cục_Công_nghệ_thông_tin-Xây_dựng_yêu_cầu,_qu","Xây dựng yêu cầu, quy định tiêu chuẩn, quy chuẩn kĩ thuật Học bạ số.",,,NhiemVu
904/KH-BGDĐT-Muc_III-Cục_Công_nghệ_thông_tin-Đánh_giá_giải_pháp_k,Đánh giá giải pháp kỹ thuật đảm bảo triển khai Học bạ số.,,,NhiemVu
904/KH-BGDĐT-Muc_III-Cục_Công_nghệ_thông_tin-Phối_hợp_tổ_chức_tri,Phối hợp tổ chức triển khai Học bạ số theo Kế hoạch;,,,NhiemVu
904/KH-BGDĐT-Muc_III-Vụ_Kế_hoạch_-_Tài_chính-toán_kinh_phí_thực_h,"toán kinh phí thực hiện nhiệm vụ theo Kế hoạch này, tham mưu lãnh đạo Bộ phê",,,NhiemVu
904/KH-BGDĐT-Muc_III-Vụ_Kế_hoạch_-_Tài_chính-duyệt_kinh_phí.,duyệt kinh phí.,,,NhiemVu
904/KH-BGDĐT-Muc_III-Các_Sở_Giáo_dục_và_Đào_tạo-Xây_dựng_kế_hoạch_tr,Xây dựng kế hoạch triển khai Học bạ số tại địa phương.,,,NhiemVu
"904/KH-BGDĐT-Muc_III-Các_Sở_Giáo_dục_và_Đào_tạo-Tổ_chức,_chỉ_đạo_các","Tổ chức, chỉ đạo các Phòng GDĐT, các cơ sở giáo dục khai rà soát, đánh",,,NhiemVu
"904/KH-BGDĐT-Muc_III-Các_Sở_Giáo_dục_và_Đào_tạo-giá,_chuẩn_bị_các_đi","giá, chuẩn bị các điều kiện kĩ thuật, nhân sự, nguồn lực bảo đảm các điều kiện",,,NhiemVu
904/KH-BGDĐT-Muc_III-Các_Sở_Giáo_dục_và_Đào_tạo-triển_khai_Học_bạ_số,triển khai Học bạ số.,,,NhiemVu
904/KH-BGDĐT-Muc_III-Các_Sở_Giáo_dục_và_Đào_tạo-Phối_hợp_các_đơn_vị_,Phối hợp các đơn vị cung cấp dịch vụ Học bạ số xây dựng kế hoạch triển khai,,,NhiemVu
904/KH-BGDĐT-Muc_III-Các_Sở_Giáo_dục_và_Đào_tạo-cụ_thể_tại_địa_phươn,"cụ thể tại địa phương; thực hiện tập huấn vận hành, sử dụng hệ thống Học bạ số.",,,NhiemVu
904/KH-BGDĐT-Muc_III-Các_Sở_Giáo_dục_và_Đào_tạo-Tổ_chức_triển_khai_H,Tổ chức triển khai Học bạ số theo kế hoạch và tổng kết đánh giá kết quả,,,NhiemVu
904/KH-BGDĐT-Muc_III-Các_Sở_Giáo_dục_và_Đào_tạo-triển_khai_tại_địa_p,"triển khai tại địa phương; kiến nghị, đề xuất về giải pháp triển khai đại trà Học bạ",,,NhiemVu
904/KH-BGDĐT-Muc_III-Các_Sở_Giáo_dục_và_Đào_tạo-số_ở_cấp_Trung_học.,số ở cấp Trung học.,,,NhiemVu
